InvoiceID,InvoiceTypeCode,InvoiceStatus,IssueDate,DueDate,CurrencyCode,SellerID,SellerTRN,BuyerID,BuyerTRN,BuyerCountry,PaymentTermCode,OriginalInvoiceID,TaxExclusiveAmount,TaxAmount,TaxInclusiveAmount,PayableAmount,ErrorScenarioCode
INV-2025-000001,380,ISSUED,2025-06-04,2025-07-04,AED,SELLER-001,100987654321000,CUST000024,200000000000024,AE,NET30,,648.55,32.43,680.98,680.98,
INV-2025-000002,380,ISSUED,2025-05-14,2025-06-13,AED,SELLER-001,100987654321000,CUST000235,,IN,NET30,,19701.85,108.78,19810.63,19810.63,
INV-2025-000003,380,ISSUED,2025-12-18,2026-01-17,AED,SELLER-001,100987654321000,CUST000176,200000000000176,AE,NET30,,24643.14,1232.16,25875.30,25875.30,
INV-2025-000004,380,ISSUED,2025-01-28,2025-02-04,AED,SELLER-001,100987654321000,CUST000012,200000000000012,AE,NET7,,74513.37,3725.66,78239.03,78239.03,
INV-2025-000005,380,ISSUED,2025-07-05,2025-07-20,AED,SELLER-001,100987654321000,CUST000029,200000000000029,AE,NET15,,10040.13,502.02,10542.15,10542.15,
INV-2025-000006,380,ISSUED,2025-07-13,2025-08-12,AED,SELLER-001,100987654321000,CUST000196,200000000000196,AE,NET30,,9300.21,465.01,9765.22,9765.22,
INV-2025-000007,380,ISSUED,2025-09-10,2025-09-10,AED,SELLER-001,100987654321000,CUST000033,200000000000033,AE,IMMED,,1105.23,55.26,1160.49,1160.49,
INV-2025-000008,380,ISSUED,2025-10-06,2025-10-21,AED,SELLER-001,100987654321000,CUST000032,200000000000032,AE,NET15,,374869.20,18743.46,393612.66,393612.66,
INV-2025-000009,380,ISSUED,2025-07-08,2025-07-15,AED,SELLER-001,100987654321000,CUST000010,200000000000010,AE,NET7,,556.00,0.00,556.00,556.00,
INV-2025-000010,380,ISSUED,2025-05-20,2025-06-19,AED,SELLER-001,100987654321000,CUST000015,200000000000015,AE,NET30,,98150.43,4907.52,103057.95,103057.95,
INV-2025-000011,380,ISSUED,2025-03-12,2025-03-27,AED,SELLER-001,100987654321000,CUST000034,200000000000034,AE,NET15,,1904.53,95.23,1999.76,1999.76,
INV-2025-000012,380,ISSUED,2025-04-28,2025-04-28,AED,SELLER-001,100987654321000,CUST000192,200000000000192,AE,IMMED,,11284.35,564.21,11848.56,11848.56,
INV-2025-000013,380,ISSUED,2025-07-27,2025-08-11,AED,SELLER-001,100987654321000,CUST000030,200000000000030,AE,NET15,,25898.61,339.75,26238.36,26238.36,
INV-2025-000014,380,ISSUED,2025-04-28,2025-05-28,AED,SELLER-001,100987654321000,CUST000006,200000000000006,AE,NET30,,6894.40,344.73,7239.13,7239.13,
INV-2025-000015,380,ISSUED,2025-09-30,2025-10-15,AED,SELLER-001,100987654321000,CUST000030,200000000000030,AE,NET15,,40126.96,1990.95,42117.91,42117.91,
INV-2025-000016,380,ISSUED,2025-04-10,2025-04-25,AED,SELLER-001,100987654321000,CUST000044,200000000000044,AE,NET15,,94.62,4.73,99.35,99.35,
