scenario_id,test_expectation,error_scenario_code,invoice_number,invoice_date,invoice_type_code,invoice_currency_code,invoice_transaction_type_code,payment_due_date,business_process_type,specification_identifier,payment_means_type_code,seller_name,seller_electronic_address,seller_electronic_identifier,seller_legal_registration_identifier,seller_legal_registration_identifier_type,seller_tax_registration_identifier,seller_tax_scheme_code,seller_address_line_1,seller_city,seller_country_subdivision,seller_country_code,buyer_name,buyer_electronic_address,buyer_electronic_identifier,buyer_legal_registration_identifier,buyer_legal_registration_identifier_type,buyer_address_line_1,buyer_city,buyer_country_subdivision,buyer_country_code,sum_of_invoice_line_net_amount,invoice_total_amount_without_tax,invoice_total_tax_amount,invoice_total_amount_with_tax,amount_due_for_payment,tax_category_taxable_amount,tax_category_tax_amount,tax_category_code,tax_category_rate,invoice_line_identifier,invoiced_quantity,unit_of_measure_code,invoice_line_net_amount,item_net_price,item_gross_price,item_price_base_quantity,invoiced_item_tax_category_code,invoiced_item_tax_rate,vat_line_amount_in_aed,invoice_line_amount_in_aed,item_name,item_description
SCN-000001,expected_pass,,CN-2026-000001,2026-06-18,381,AED,388,2026-06-25,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,30,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 6859,8565941643,0235,LIC-2730793,TRADE_LICENSE,"Office 244, Business District",Dubai,AJ,AE,-4050.00,-4050.00,0.00,-4050.00,-4050.00,-4050.00,0.00,E,0.00,1,9.000,EA,-4050.00,450.00,450.00,1.000,E,0.00,-0.00,-4050.00,Insurance Service,Business insurance fee
SCN-000002,expected_fail,NEG05_LINE_TAX_MISMATCH,CN-2026-000002,2026-11-08,381,AED,388,2026-12-08,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,30,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5550,9592579658,0235,LIC-9806040,TRADE_LICENSE,"Office 101, Business District",Abu Dhabi,AJ,AE,-11150.00,-11150.00,-557.50,-11707.50,-11707.50,-11150.00,-557.50,S,0.00,1,10.000,EA,-5000.00,500.00,525.00,1.000,S,0.00,-250.00,-5250.00,Hardware Accessory Kit,Network accessories bundle
,expected_fail,NEG05_LINE_TAX_MISMATCH,CN-2026-000002,2026-11-08,381,AED,388,2026-12-08,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,30,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5550,9592579658,0235,LIC-9806040,TRADE_LICENSE,"Office 101, Business District",Abu Dhabi,AJ,AE,-11150.00,-11150.00,-557.50,-11707.50,-11707.50,-11150.00,-557.50,S,5.00,2,10.000,EA,-3000.00,300.00,315.00,1.000,S,5.00,-150.00,-3150.00,Export Documentation,Cross-border service documentation
,expected_fail,NEG05_LINE_TAX_MISMATCH,CN-2026-000002,2026-11-08,381,AED,388,2026-12-08,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,30,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5550,9592579658,0235,LIC-9806040,TRADE_LICENSE,"Office 101, Business District",Abu Dhabi,AJ,AE,-11150.00,-11150.00,-557.50,-11707.50,-11707.50,-11150.00,-557.50,S,5.00,3,9.000,EA,-3150.00,350.00,367.50,1.000,S,5.00,-157.50,-3307.50,Software Subscription,Annual SaaS subscription
SCN-000003,expected_pass,,CN-2026-000003,2026-02-04,381,AED,388,2026-03-06,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1341,8245170553,0235,LIC-8786929,TRADE_LICENSE,"Office 9, Business District",Abu Dhabi,DU,AE,-2300.00,-2300.00,-115.00,-2415.00,-2415.00,-2300.00,-115.00,S,5.00,1,3.000,EA,-900.00,300.00,315.00,1.000,S,5.00,-45.00,-945.00,Export Documentation,Cross-border service documentation
,expected_pass,,CN-2026-000003,2026-02-04,381,AED,388,2026-03-06,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1341,8245170553,0235,LIC-8786929,TRADE_LICENSE,"Office 9, Business District",Abu Dhabi,DU,AE,-2300.00,-2300.00,-115.00,-2415.00,-2415.00,-2300.00,-115.00,S,5.00,2,7.000,HUR,-1400.00,200.00,210.00,1.000,S,5.00,-70.00,-1470.00,Consulting Hours,ERP tax configuration support
SCN-000004,expected_pass,,CN-2026-000004,2026-01-23,381,AED,388,2026-02-07,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9984,8739743683,0235,LIC-8637625,TRADE_LICENSE,"Office 1, Business District",Dubai,AJ,AE,-5000.00,-5000.00,-70.00,-5070.00,-5070.00,-1400.00,-70.00,S,5.00,1,7.000,HUR,-1400.00,200.00,210.00,1.000,S,5.00,-70.00,-1470.00,Consulting Hours,ERP tax configuration support
,expected_pass,,CN-2026-000004,2026-01-23,381,AED,388,2026-02-07,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9984,8739743683,0235,LIC-8637625,TRADE_LICENSE,"Office 1, Business District",Dubai,AJ,AE,-5000.00,-5000.00,-70.00,-5070.00,-5070.00,-3600.00,0.00,E,0.00,2,8.000,EA,-3600.00,450.00,450.00,1.000,E,0.00,-0.00,-3600.00,Insurance Service,Business insurance fee
SCN-000005,expected_pass,,CN-2026-000005,2026-05-27,381,AED,388,2026-06-26,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 3772,1488274127,0235,LIC-6608529,TRADE_LICENSE,"Office 8, Business District",Abu Dhabi,DU,AE,-2450.00,-2450.00,-122.50,-2572.50,-2572.50,-2450.00,-122.50,S,5.00,1,7.000,EA,-2450.00,350.00,367.50,1.000,S,5.00,-122.50,-2572.50,Software Subscription,Annual SaaS subscription
SCN-000006,expected_pass,,CN-2026-000006,2026-06-30,381,AED,388,2026-07-15,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 3134,2013762217,0235,LIC-1476599,TRADE_LICENSE,"Office 18, Business District",Abu Dhabi,AJ,AE,-3500.00,-3500.00,-175.00,-3675.00,-3675.00,-3500.00,-175.00,S,5.00,1,10.000,EA,-3500.00,350.00,367.50,1.000,S,5.00,-175.00,-3675.00,Software Subscription,Annual SaaS subscription
